drugbankid,atccodes,targets,name
BIOD00029,B02BD02,Calreticulin,"Antihemophilic factor, human recombinant"
BIOD00029,B02BD02,Calnexin,"Antihemophilic factor, human recombinant"
BIOD00029,B02BD02,Protein ERGIC-53,"Antihemophilic factor, human recombinant"
BIOD00029,B02BD02,Prolow-density lipoprotein receptor-related protein 1,"Antihemophilic factor, human recombinant"
BIOD00029,B02BD02,Multiple coagulation factor deficiency protein 2,"Antihemophilic factor, human recombinant"
DB13162,B02BD02,Coagulation factor X,"Antihemophilic factor, human recombinant"
DB13162,B02BD02,Coagulation factor IX,"Antihemophilic factor, human recombinant"
DB13162,B02BD02,von Willebrand factor,"Antihemophilic factor, human recombinant"
DB13162,B02BD02,"Phytanoyl-CoA dioxygenase, peroxisomal","Antihemophilic factor, human recombinant"
DB13162,B02BD02,Asialoglycoprotein receptor 2,"Antihemophilic factor, human recombinant"
DB13162,B02BD02,78 kDa glucose-regulated protein,"Antihemophilic factor, human recombinant"
DB13162,B02BD02,Calreticulin,"Antihemophilic factor, human recombinant"
DB13162,B02BD02,Calnexin,"Antihemophilic factor, human recombinant"
DB13162,B02BD02,Protein ERGIC-53,"Antihemophilic factor, human recombinant"
DB13162,B02BD02,Prolow-density lipoprotein receptor-related protein 1,"Antihemophilic factor, human recombinant"
DB13162,B02BD02,Multiple coagulation factor deficiency protein 2,"Antihemophilic factor, human recombinant"
DBSALT002413,B02BD02,Coagulation factor X,"Antihemophilic factor, human recombinant"
DBSALT002413,B02BD02,Coagulation factor IX,"Antihemophilic factor, human recombinant"
DBSALT002413,B02BD02,von Willebrand factor,"Antihemophilic factor, human recombinant"
DBSALT002413,B02BD02,"Phytanoyl-CoA dioxygenase, peroxisomal","Antihemophilic factor, human recombinant"
DBSALT002413,B02BD02,Asialoglycoprotein receptor 2,"Antihemophilic factor, human recombinant"
DBSALT002413,B02BD02,78 kDa glucose-regulated protein,"Antihemophilic factor, human recombinant"
DBSALT002413,B02BD02,Calreticulin,"Antihemophilic factor, human recombinant"
DBSALT002413,B02BD02,Calnexin,"Antihemophilic factor, human recombinant"
DBSALT002413,B02BD02,Protein ERGIC-53,"Antihemophilic factor, human recombinant"
DBSALT002413,B02BD02,Prolow-density lipoprotein receptor-related protein 1,"Antihemophilic factor, human recombinant"
DBSALT002413,B02BD02,Multiple coagulation factor deficiency protein 2,"Antihemophilic factor, human recombinant"
DB00026,L04AC03,Interleukin-1 receptor type 1,Anakinra
BTD00060,L04AC03,Interleukin-1 receptor type 1,Anakinra
BIOD00060,L04AC03,Interleukin-1 receptor type 1,Anakinra
DB00029,B01AD03,Plasminogen,Anistreplase
DB00029,B01AD03,Fibrinogen alpha chain,Anistreplase
DB00029,B01AD03,Plasminogen activator inhibitor 1,Anistreplase
BTD00102,B01AD03,Plasminogen,Anistreplase
BTD00102,B01AD03,Fibrinogen alpha chain,Anistreplase
BTD00102,B01AD03,Plasminogen activator inhibitor 1,Anistreplase
BIOD00102,B01AD03,Plasminogen,Anistreplase
BIOD00102,B01AD03,Fibrinogen alpha chain,Anistreplase
BIOD00102,B01AD03,Plasminogen activator inhibitor 1,Anistreplase
DB00030,A10AC01,Insulin receptor,Insulin human
DB00030,A10AC01,Insulin-like growth factor 1 receptor,Insulin human
DB00030,A10AC01,Carboxypeptidase E,Insulin human
DB00030,A10AC01,Protein NOV homolog,Insulin human
DB00030,A10AC01,Low-density lipoprotein receptor-related protein 2,Insulin human
DB00030,A10AC01,Insulin-like growth factor-binding protein 7,Insulin human
DB00030,A10AE01,Insulin receptor,Insulin human
DB00030,A10AE01,Insulin-like growth factor 1 receptor,Insulin human
DB00030,A10AE01,Carboxypeptidase E,Insulin human
DB00030,A10AE01,Protein NOV homolog,Insulin human
DB00030,A10AE01,Low-density lipoprotein receptor-related protein 2,Insulin human
DB00030,A10AE01,Insulin-like growth factor-binding protein 7,Insulin human
DB00030,A10AB01,Insulin receptor,Insulin human
DB00030,A10AB01,Insulin-like growth factor 1 receptor,Insulin human
DB00030,A10AB01,Carboxypeptidase E,Insulin human
DB00030,A10AB01,Protein NOV homolog,Insulin human
DB00030,A10AB01,Low-density lipoprotein receptor-related protein 2,Insulin human
DB00030,A10AB01,Insulin-like growth factor-binding protein 7,Insulin human
DB00030,A10AD01,Insulin receptor,Insulin human
DB00030,A10AD01,Insulin-like growth factor 1 receptor,Insulin human
DB00030,A10AD01,Carboxypeptidase E,Insulin human
DB00030,A10AD01,Protein NOV homolog,Insulin human
DB00030,A10AD01,Low-density lipoprotein receptor-related protein 2,Insulin human
DB00030,A10AD01,Insulin-like growth factor-binding protein 7,Insulin human
DB00030,A10AF01,Insulin receptor,Insulin human
DB00030,A10AF01,Insulin-like growth factor 1 receptor,Insulin human
DB00030,A10AF01,Carboxypeptidase E,Insulin human
DB00030,A10AF01,Protein NOV homolog,Insulin human
DB00030,A10AF01,Low-density lipoprotein receptor-related protein 2,Insulin human
DB00030,A10AF01,Insulin-like growth factor-binding protein 7,Insulin human
BTD00105,A10AC01,Insulin receptor,Insulin human
BTD00105,A10AC01,Insulin-like growth factor 1 receptor,Insulin human
BTD00105,A10AC01,Carboxypeptidase E,Insulin human
BTD00105,A10AC01,Protein NOV homolog,Insulin human
BTD00105,A10AC01,Low-density lipoprotein receptor-related protein 2,Insulin human
BTD00105,A10AC01,Insulin-like growth factor-binding protein 7,Insulin human
BTD00105,A10AE01,Insulin receptor,Insulin human
BTD00105,A10AE01,Insulin-like growth factor 1 receptor,Insulin human
BTD00105,A10AE01,Carboxypeptidase E,Insulin human
BTD00105,A10AE01,Protein NOV homolog,Insulin human
BTD00105,A10AE01,Low-density lipoprotein receptor-related protein 2,Insulin human
BTD00105,A10AE01,Insulin-like growth factor-binding protein 7,Insulin human
BTD00105,A10AB01,Insulin receptor,Insulin human
BTD00105,A10AB01,Insulin-like growth factor 1 receptor,Insulin human
BTD00105,A10AB01,Carboxypeptidase E,Insulin human
BTD00105,A10AB01,Protein NOV homolog,Insulin human
BTD00105,A10AB01,Low-density lipoprotein receptor-related protein 2,Insulin human
BTD00105,A10AB01,Insulin-like growth factor-binding protein 7,Insulin human
BTD00105,A10AD01,Insulin receptor,Insulin human
BTD00105,A10AD01,Insulin-like growth factor 1 receptor,Insulin human
BTD00105,A10AD01,Carboxypeptidase E,Insulin human
BTD00105,A10AD01,Protein NOV homolog,Insulin human
BTD00105,A10AD01,Low-density lipoprotein receptor-related protein 2,Insulin human
BTD00105,A10AD01,Insulin-like growth factor-binding protein 7,Insulin human
BTD00105,A10AF01,Insulin receptor,Insulin human
BTD00105,A10AF01,Insulin-like growth factor 1 receptor,Insulin human
BTD00105,A10AF01,Carboxypeptidase E,Insulin human
BTD00105,A10AF01,Protein NOV homolog,Insulin human
BTD00105,A10AF01,Low-density lipoprotein receptor-related protein 2,Insulin human
BTD00105,A10AF01,Insulin-like growth factor-binding protein 7,Insulin human
BIOD00105,A10AC01,Insulin receptor,Insulin human
BIOD00105,A10AC01,Insulin-like growth factor 1 receptor,Insulin human
BIOD00105,A10AC01,Carboxypeptidase E,Insulin human
BIOD00105,A10AC01,Protein NOV homolog,Insulin human
BIOD00105,A10AC01,Low-density lipoprotein receptor-related protein 2,Insulin human
BIOD00105,A10AC01,Insulin-like growth factor-binding protein 7,Insulin human
BIOD00105,A10AE01,Insulin receptor,Insulin human
BIOD00105,A10AE01,Insulin-like growth factor 1 receptor,Insulin human
BIOD00105,A10AE01,Carboxypeptidase E,Insulin human
BIOD00105,A10AE01,Protein NOV homolog,Insulin human
BIOD00105,A10AE01,Low-density lipoprotein receptor-related protein 2,Insulin human
BIOD00105,A10AE01,Insulin-like growth factor-binding protein 7,Insulin human
BIOD00105,A10AB01,Insulin receptor,Insulin human
BIOD00105,A10AB01,Insulin-like growth factor 1 receptor,Insulin human
BIOD00105,A10AB01,Carboxypeptidase E,Insulin human
BIOD00105,A10AB01,Protein NOV homolog,Insulin human
BIOD00105,A10AB01,Low-density lipoprotein receptor-related protein 2,Insulin human
BIOD00105,A10AB01,Insulin-like growth factor-binding protein 7,Insulin human
BIOD00105,A10AD01,Insulin receptor,Insulin human
BIOD00105,A10AD01,Insulin-like growth factor 1 receptor,Insulin human
BIOD00105,A10AD01,Carboxypeptidase E,Insulin human
BIOD00105,A10AD01,Protein NOV homolog,Insulin human
BIOD00105,A10AD01,Low-density lipoprotein receptor-related protein 2,Insulin human
BIOD00105,A10AD01,Insulin-like growth factor-binding protein 7,Insulin human
BIOD00105,A10AF01,Insulin receptor,Insulin human
BIOD00105,A10AF01,Insulin-like growth factor 1 receptor,Insulin human
BIOD00105,A10AF01,Carboxypeptidase E,Insulin human
BIOD00105,A10AF01,Protein NOV homolog,Insulin human
BIOD00105,A10AF01,Low-density lipoprotein receptor-related protein 2,Insulin human
BIOD00105,A10AF01,Insulin-like growth factor-binding protein 7,Insulin human
DB01383,A10AC01,Insulin receptor,Insulin human
DB01383,A10AC01,Insulin-like growth factor 1 receptor,Insulin human
DB01383,A10AC01,Carboxypeptidase E,Insulin human
DB01383,A10AC01,Protein NOV homolog,Insulin human
DB01383,A10AC01,Low-density lipoprotein receptor-related protein 2,Insulin human
DB01383,A10AC01,Insulin-like growth factor-binding protein 7,Insulin human
DB01383,A10AE01,Insulin receptor,Insulin human
DB01383,A10AE01,Insulin-like growth factor 1 receptor,Insulin human
DB01383,A10AE01,Carboxypeptidase E,Insulin human
DB01383,A10AE01,Protein NOV homolog,Insulin human
DB01383,A10AE01,Low-density lipoprotein receptor-related protein 2,Insulin human
DB01383,A10AE01,Insulin-like growth factor-binding protein 7,Insulin human
DB01383,A10AB01,Insulin receptor,Insulin human
DB01383,A10AB01,Insulin-like growth factor 1 receptor,Insulin human
DB01383,A10AB01,Carboxypeptidase E,Insulin human
DB01383,A10AB01,Protein NOV homolog,Insulin human
DB01383,A10AB01,Low-density lipoprotein receptor-related protein 2,Insulin human
DB01383,A10AB01,Insulin-like growth factor-binding protein 7,Insulin human
DB01383,A10AD01,Insulin receptor,Insulin human
DB01383,A10AD01,Insulin-like growth factor 1 receptor,Insulin human
DB01383,A10AD01,Carboxypeptidase E,Insulin human
DB01383,A10AD01,Protein NOV homolog,Insulin human
DB01383,A10AD01,Low-density lipoprotein receptor-related protein 2,Insulin human
