atccode,target
L03AA09,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha
L03AA09,Interleukin-3 receptor subunit alpha
L03AA09,Cytokine receptor common subunit beta
L03AA09,Syndecan-2
L03AA09,Bone marrow proteoglycan
L03AB10,Interferon alpha/beta receptor 1
L03AB10,Interferon alpha/beta receptor 2
L03AB60,Interferon alpha/beta receptor 1
L03AB60,Interferon alpha/beta receptor 2
L01XX02,L-asparagine
H01AB01,Thyrotropin receptor
B02BD02,Coagulation factor X
B02BD02,Coagulation factor IX
B02BD02,von Willebrand factor
B02BD02,"Phytanoyl-CoA dioxygenase, peroxisomal"
B02BD02,Asialoglycoprotein receptor 2
B02BD02,78 kDa glucose-regulated protein
B02BD02,Calreticulin
B02BD02,Calnexin
B02BD02,Protein ERGIC-53
B02BD02,Prolow-density lipoprotein receptor-related protein 1
B02BD02,Multiple coagulation factor deficiency protein 2
L04AC03,Interleukin-1 receptor type 1
B01AD03,Plasminogen
B01AD03,Fibrinogen alpha chain
B01AD03,Plasminogen activator inhibitor 1
A10AC01,Insulin receptor
A10AC01,Insulin-like growth factor 1 receptor
A10AC01,Carboxypeptidase E
A10AC01,Protein NOV homolog
A10AC01,Low-density lipoprotein receptor-related protein 2
A10AC01,Insulin-like growth factor-binding protein 7
A10AE01,Insulin receptor
A10AE01,Insulin-like growth factor 1 receptor
A10AE01,Carboxypeptidase E
A10AE01,Protein NOV homolog
A10AE01,Low-density lipoprotein receptor-related protein 2
A10AE01,Insulin-like growth factor-binding protein 7
A10AB01,Insulin receptor
A10AB01,Insulin-like growth factor 1 receptor
A10AB01,Carboxypeptidase E
A10AB01,Protein NOV homolog
A10AB01,Low-density lipoprotein receptor-related protein 2
A10AB01,Insulin-like growth factor-binding protein 7
A10AD01,Insulin receptor
A10AD01,Insulin-like growth factor 1 receptor
A10AD01,Carboxypeptidase E
A10AD01,Protein NOV homolog
A10AD01,Low-density lipoprotein receptor-related protein 2
A10AD01,Insulin-like growth factor-binding protein 7
A10AF01,Insulin receptor
A10AF01,Insulin-like growth factor 1 receptor
A10AF01,Carboxypeptidase E
A10AF01,Protein NOV homolog
A10AF01,Low-density lipoprotein receptor-related protein 2
A10AF01,Insulin-like growth factor-binding protein 7
B01AD11,Plasminogen
B01AD11,Fibrinogen alpha chain
B01AD11,Urokinase plasminogen activator surface receptor
B01AD11,Plasminogen activator inhibitor 1
B01AD11,Plasminogen activator inhibitor 2
B01AD11,Tetranectin
B01AD11,"Keratin, type II cytoskeletal 8"
B01AD11,Annexin A2
B01AD11,Calreticulin
B01AD11,Calnexin
B01AD11,Prolow-density lipoprotein receptor-related protein 1
G03GA02,Follicle-stimulating hormone receptor
G03GA02,Lutropin-choriogonadotropic hormone receptor
G03GA03,Follicle-stimulating hormone receptor
G03GA03,Lutropin-choriogonadotropic hormone receptor
L03AB04,Interferon alpha/beta receptor 1
L03AB04,Interferon alpha/beta receptor 2
H01BA02,Vasopressin V2 receptor
H01BA02,Vasopressin V1a receptor
H01BA02,Vasopressin V1b receptor
B02BD08,Coagulation factor X
B02BD08,Tissue factor pathway inhibitor
B02BD08,Vitamin K-dependent gamma-carboxylase
B02BD08,Coagulation factor VII
B02BD08,Tissue factor
L03AC02,Interleukin-11 receptor subunit alpha
V03AF08,Fibroblast growth factor receptor 2
V03AF08,Fibroblast growth factor receptor 1
V03AF08,Basement membrane-specific heparan sulfate proteoglycan core protein
H04AA01,Glucagon receptor
H04AA01,Glucagon-like peptide 2 receptor
H04AA01,Glucagon-like peptide 1 receptor
L03AC01,Interleukin-2 receptor subunit beta
L03AC01,Interleukin-2 receptor subunit alpha
L03AC01,Cytokine receptor common subunit gamma
M03AX01,Vesicle-associated membrane protein 2
M03AX01,Vesicle-associated membrane protein 1
M03AX01,Synaptotagmin-2
R03DX05,High affinity immunoglobulin epsilon receptor subunit alpha
R03DX05,High affinity immunoglobulin epsilon receptor subunit beta
G03GA07,Lutropin-choriogonadotropic hormone receptor
A10AC04,Insulin receptor
A10AC04,Insulin-like growth factor 1 receptor
A10AB04,Insulin receptor
A10AB04,Insulin-like growth factor 1 receptor
A10AD04,Insulin receptor
A10AD04,Insulin-like growth factor 1 receptor
A10AE54,Insulin receptor
A10AE54,Insulin-like growth factor 1 receptor
A10AE04,Insulin receptor
A10AE04,Insulin-like growth factor 1 receptor
D03BA02,Collagen alpha-1(I) chain
D03BA02,Collagen alpha-1(II) chain
D03BA02,Collagen alpha-1(III) chain
M09AB02,Collagen alpha-1(I) chain
M09AB02,Collagen alpha-1(II) chain
M09AB02,Collagen alpha-1(III) chain
D03BA52,Collagen alpha-1(I) chain
D03BA52,Collagen alpha-1(II) chain
D03BA52,Collagen alpha-1(III) chain
V03AF07,Uric acid
M04AX01,Uric acid
H01CC02,Gonadotropin-releasing hormone receptor
H01CC02,Lutropin-choriogonadotropic hormone receptor
L04AB04,Tumor necrosis factor
H01AC01,Growth hormone receptor
H01AC01,Prolactin receptor
A16AB02,Glucocerebroside
B01AC13,Integrin beta-3
B01AC13,Integrin alpha-IIb
B01AC13,Low affinity immunoglobulin gamma Fc region receptor II-a
B01AC13,Low affinity immunoglobulin gamma Fc region receptor II-b
B01AC13,Vitronectin
B01AD10,Coagulation factor VIII
B01AD10,Coagulation factor V
B01AD10,Plasminogen activator inhibitor 1
B01AD10,Thrombomodulin
B01AD10,Vitamin K-dependent protein S
B01AD10,Prothrombin
B01AD10,Platelet factor 4
B01AD10,Plasma serine protease inhibitor
B01AD10,Serpin B6
B01AD10,Endothelial protein C receptor
L01XC05,Myeloid cell surface antigen CD33
L01XC05,Low affinity immunoglobulin gamma Fc region receptor III-B
L01XC05,Low affinity immunoglobulin gamma Fc region receptor III-A
L01XC05,High affinity immunoglobulin gamma Fc receptor I
V09IB02,Tumor-associated glycoprotein 72 (TAG-72)
B02AB02,Neutrophil elastase
L01XX24,L-asparagine
L03AB07,Interferon alpha/beta receptor 1
L03AB07,Interferon alpha/beta receptor 2
L03AX04,Adenosine
L03AX04,Growth factor receptor-bound protein 2
B05AA01,Nitric oxide
B01AC16,Integrin beta-3
L04AB02,Tumor necrosis factor
G03GA06,Follicle-stimulating hormone receptor
G03GA10,Follicle-stimulating hormone receptor
G03GA05,Follicle-stimulating hormone receptor
L03AB08,Interferon alpha/beta receptor 1
L03AB08,Interferon alpha/beta receptor 2
L03AB09,Interferon alpha/beta receptor 1
L03AB09,Interferon alpha/beta receptor 2
A10AC03,Insulin receptor
A10AC03,Insulin-like growth factor 1 receptor
A10AB03,Insulin receptor
A10AB03,Insulin-like growth factor 1 receptor
A10AE03,Insulin receptor
A10AE03,Insulin-like growth factor 1 receptor
A10AD03,Insulin receptor
A10AD03,Insulin-like growth factor 1 receptor
L01XC03,Receptor tyrosine-protein kinase erbB-2
L01XC02,B-lymphocyte antigen CD20
L04AC02,Interleukin-2 receptor subunit alpha
L04AC02,Interleukin-2 receptor subunit beta
L04AA02,T-cell surface glycoprotein CD3 delta chain
L04AA02,T-cell surface glycoprotein CD3 epsilon chain
L04AA02,T-cell surface glycoprotein CD3 gamma chain
L04AA02,T-cell surface glycoprotein CD3 zeta chain
L04AA02,Low affinity immunoglobulin gamma Fc region receptor III-B
V03AB24,Digoxin
V10XX02,B-lymphocyte antigen CD20
J01XX09,Cytoplasmic membrane
V10XA53,B-lymphocyte antigen CD20
V10XA53,Low affinity immunoglobulin gamma Fc region receptor II-b
H01AX01,Growth hormone receptor
M03AX01,Synaptosomal-associated protein 25
M03AX01,Rho-related GTP-binding protein RhoB
A09AA02,Dietary fat
A09AA02,Dietary protein
A09AA02,Dietary starch
B01AD01,Plasminogen
B01AD01,Proteinase-activated receptor 1
B06AA55,Plasminogen
B06AA55,Proteinase-activated receptor 1
L04AA34,CAMPATH-1 antigen
L04AA34,Low affinity immunoglobulin gamma Fc region receptor III-B
L04AA34,Low affinity immunoglobulin gamma Fc region receptor III-A
L04AA34,High affinity immunoglobulin gamma Fc receptor I
L04AA34,Low affinity immunoglobulin gamma Fc region receptor II-a
L04AA34,Low affinity immunoglobulin gamma Fc region receptor II-b
L04AA34,Low affinity immunoglobulin gamma Fc region receptor II-c
A16AB01,Glucocerebroside
V09IB04,Glutamate carboxypeptidase 2
A16AB05,Iduronic acid
L04AD01,Calcium signal-modulating cyclophilin ligand
L04AD01,Calcineurin subunit B type 2
L04AD01,Peptidyl-prolyl cis-trans isomerase A
L04AD01,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial"
S01XA18,Calcium signal-modulating cyclophilin ligand
S01XA18,Calcineurin subunit B type 2
S01XA18,Peptidyl-prolyl cis-trans isomerase A
S01XA18,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial"
L04AA15,T-cell surface antigen CD2
L04AA15,Low affinity immunoglobulin gamma Fc region receptor III-A
L04AA15,Low affinity immunoglobulin gamma Fc region receptor III-B
G03GA04,Follicle-stimulating hormone receptor
L04AA21,Integrin alpha-L
L04AA21,Integrin alpha-X
G03GA08,Lutropin-choriogonadotropic hormone receptor
G03GA08,Follicle-stimulating hormone receptor
L04AA04,T-cell surface glycoprotein CD1a
L04AA04,Major histocompatibility complex class I-related gene protein
L04AA04,Integrin alpha-L
L04AA04,T-lymphocyte activation antigen CD86
L04AA04,Low affinity immunoglobulin gamma Fc region receptor II-b
L04AA04,T-cell surface glycoprotein CD4
L04AA04,Integrin beta-1
L04AA04,Integrin alpha-V
L04AA04,Integrin beta-3
L03AA02,Granulocyte colony-stimulating factor receptor
L03AA02,Neutrophil elastase
D03AX06,Platelet-derived growth factor receptor beta
D03AX06,Platelet-derived growth factor receptor alpha
D03AX06,Alpha-2-macroglobulin
A01AD08,Platelet-derived growth factor receptor beta
A01AD08,Platelet-derived growth factor receptor alpha
A01AD08,Alpha-2-macroglobulin
A16AB04,Globotriaosylceramide
H01CB02,Somatostatin receptor
L03AB05,Interferon alpha/beta receptor 2
L03AB05,Interferon alpha/beta receptor 1
L02BX01,Gonadotropin-releasing hormone receptor
G02AC01,Oxytocin receptor
H01BB02,Oxytocin receptor
L04AA23,Integrin alpha-4
L04AA23,Low affinity immunoglobulin gamma Fc region receptor III-B
L04AA23,Intercellular adhesion molecule 1
L04AA23,High affinity immunoglobulin gamma Fc receptor I
J05AX07,Envelope glycoprotein
J06BB16,Fusion glycoprotein F0
J06BB16,Low affinity immunoglobulin gamma Fc region receptor III-B
J06BB16,Complement C1r subcomponent
J06BB16,Complement C1q subcomponent subunit A
J06BB16,Complement C1q subcomponent subunit B
J06BB16,Complement C1q subcomponent subunit C
J06BB16,Low affinity immunoglobulin gamma Fc region receptor III-A
J06BB16,High affinity immunoglobulin gamma Fc receptor I
J06BB16,Low affinity immunoglobulin gamma Fc region receptor II-b
L04AC01,Interleukin-2 receptor subunit alpha
L04AC01,Interleukin-2 receptor subunit beta
L04AC01,Low affinity immunoglobulin gamma Fc region receptor III-B
L04AC01,Complement C1r subcomponent
L04AC01,Complement C1q subcomponent subunit A
L04AC01,Complement C1q subcomponent subunit B
L04AC01,Complement C1q subcomponent subunit C
L04AC01,Low affinity immunoglobulin gamma Fc region receptor III-A
L04AC01,High affinity immunoglobulin gamma Fc receptor I
L04AC01,Low affinity immunoglobulin gamma Fc region receptor II-a
L04AC01,Low affinity immunoglobulin gamma Fc region receptor II-b
L04AC01,Low affinity immunoglobulin gamma Fc region receptor II-c
L01XC07,Vascular endothelial growth factor A
L01XC07,Complement C1q subcomponent subunit A
L01XC07,Complement C1q subcomponent subunit B
L01XC07,Complement C1q subcomponent subunit C
L01XC07,Low affinity immunoglobulin gamma Fc region receptor III-A
L01XC07,High affinity immunoglobulin gamma Fc receptor I
L01XC07,Low affinity immunoglobulin gamma Fc region receptor II-a
L01XC07,Low affinity immunoglobulin gamma Fc region receptor II-b
L01XC07,Low affinity immunoglobulin gamma Fc region receptor II-c
V09IA06,Carcinoembryonic antigen-related cell adhesion molecule 1
A11HA06,"Alanine--glyoxylate aminotransferase 2, mitochondrial"
A11HA06,Glutamate decarboxylase 1
A11HA06,Cystathionine beta-synthase
A11HA06,Kynureninase
A11HA06,"Serine hydroxymethyltransferase, cytosolic"
A11HA06,"Cysteine desulfurase, mitochondrial"
A11HA06,"Aspartate aminotransferase, cytoplasmic"
A11HA06,"Ornithine aminotransferase, mitochondrial"
A11HA06,Ornithine decarboxylase
A11HA06,"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial"
A11HA06,"4-aminobutyrate aminotransferase, mitochondrial"
A11HA06,Pyridoxine-5'-phosphate oxidase
A11HA06,Sphingosine-1-phosphate lyase 1
A11HA06,Tyrosine aminotransferase
A11HA06,Kynurenine--oxoglutarate transaminase 1
A11HA06,"Glycogen phosphorylase, liver form"
A11HA06,Serine palmitoyltransferase 2
A11HA06,Cysteine sulfinic acid decarboxylase
A11HA06,Histidine decarboxylase
A11HA06,Arginine decarboxylase
A11HA06,L-serine dehydratase/L-threonine deaminase
A11HA06,"2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial"
A11HA06,"Glycine dehydrogenase [decarboxylating], mitochondrial"
A11HA06,Alanine aminotransferase 1
A11HA06,Phosphoserine aminotransferase
A11HA06,"5-aminolevulinate synthase, nonspecific, mitochondrial"
A11HA06,Serine--pyruvate aminotransferase
A11HA06,Pyridoxal phosphate phosphatase
A11HA06,Serine palmitoyltransferase 1
A11HA06,Cystathionine gamma-lyase
A11HA06,"Branched-chain-amino-acid aminotransferase, cytosolic"
A11HA06,"Branched-chain-amino-acid aminotransferase, mitochondrial"
A11HA06,Proline synthase co-transcribed bacterial homolog protein
A11HA06,"Aspartate aminotransferase, mitochondrial"
A11HA06,"Glycogen phosphorylase, brain form"
A11HA06,"Glycogen phosphorylase, muscle form"
A11HA06,Aromatic-L-amino-acid decarboxylase
A11HA06,Aspartate aminotransferase
A11HA06,Serine hydroxymethyltransferase
A11HA06,Selenocysteine lyase variant
A11HA06,Phosphorylase
A11HA06,5-aminolevulinate synthase
A11HA06,"Glutamate decarboxylase 2 (Pancreatic islets and brain, 65kDa)"
A11HA06,DDC protein
A11HA06,Kynurenine--oxoglutarate transaminase 3
A11HA06,Glutamate decarboxylase-like protein 1
A11HA06,Selenocysteine lyase
A11HA06,Immunoglobulin superfamily member 10
A11HA06,5-phosphohydroxy-L-lysine phospho-lyase
A11HA06,"Glutamate decarboxylase 1 (Brain, 67kDa)"
A11HA06,"Serine hydroxymethyltransferase, mitochondrial"
A11HA06,"5-aminolevulinate synthase, erythroid-specific, mitochondrial"
A11HA06,Alanine aminotransferase 2
A11HA06,Molybdenum cofactor sulfurase
A11HA06,Serine dehydratase-like
A11HA06,Hepatic peroxysomal alanine:glyoxylate aminotransferase
A11HA06,Serine racemase
A11HA06,O-phosphoseryl-tRNA(Sec) selenium transferase
A11HA06,Serine palmitoyltransferase 3
A11HA06,Glutamic acid decarboxylase
A11HA06,Alanine-glyoxylate aminotransferase homolog
B03BA01,Methionine synthase
B03BA01,"Methylmalonyl-CoA mutase, mitochondrial"
B03BA01,Methionine synthase reductase
B03BA01,"Methylmalonic aciduria type A protein, mitochondrial"
B03BA01,Methylmalonic aciduria and homocystinuria type C protein
B03BA01,Methylenetetrahydrofolate reductase
B03AE01,Methionine synthase
B03AE01,"Methylmalonyl-CoA mutase, mitochondrial"
B03AE01,Methionine synthase reductase
B03AE01,"Methylmalonic aciduria type A protein, mitochondrial"
B03AE01,Methylmalonic aciduria and homocystinuria type C protein
B03AE01,Methylenetetrahydrofolate reductase
B03BA51,Methionine synthase
B03BA51,"Methylmalonyl-CoA mutase, mitochondrial"
B03BA51,Methionine synthase reductase
B03BA51,"Methylmalonic aciduria type A protein, mitochondrial"
B03BA51,Methylmalonic aciduria and homocystinuria type C protein
B03BA51,Methylenetetrahydrofolate reductase
A16AA02,Glycine N-methyltransferase
A16AA02,S-adenosylmethionine decarboxylase proenzyme
A16AA02,S-adenosylmethionine synthase isoform type-2
A16AA02,Cystathionine beta-synthase
A16AA02,S-adenosylmethionine synthase isoform type-1
A16AA02,Catechol O-methyltransferase
A16AA02,Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1
A16AA02,Arsenite methyltransferase
A11HA05,"Propionyl-CoA carboxylase beta chain, mitochondrial"
A11HA05,Biotin--protein ligase
A11HA05,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial"
A11HA05,Acetyl-CoA carboxylase 2
A11HA05,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial"
A11HA05,"Pyruvate carboxylase, mitochondrial"
A11HA05,"Propionyl-CoA carboxylase alpha chain, mitochondrial"
A11HA05,Acetyl-CoA carboxylase 1
V03AF11,High affinity cationic amino acid transporter 1
V03AF11,Cationic amino acid transporter 4
V03AF11,Cationic amino acid transporter 3
V03AF11,Low affinity cationic amino acid transporter 2
V03AF11,Lysine--tRNA ligase
B05XB03,High affinity cationic amino acid transporter 1
B05XB03,Cationic amino acid transporter 4
B05XB03,Cationic amino acid transporter 3
B05XB03,Low affinity cationic amino acid transporter 2
B05XB03,Lysine--tRNA ligase
V03AF11,"Nitric oxide synthase, endothelial"
V03AF11,Cationic amino acid transporter 3
V03AF11,Arginine decarboxylase
V03AF11,Argininosuccinate lyase
V03AF11,"Nitric oxide synthase, inducible"
V03AF11,High affinity cationic amino acid transporter 1
V03AF11,"Arginase-2, mitochondrial"
V03AF11,Cationic amino acid transporter 4
V03AF11,Argininosuccinate synthase
B05XB01,"Nitric oxide synthase, endothelial"
B05XB01,Cationic amino acid transporter 3
B05XB01,Arginine decarboxylase
B05XB01,Argininosuccinate lyase
B05XB01,"Nitric oxide synthase, inducible"
B05XB01,High affinity cationic amino acid transporter 1
B05XB01,"Arginase-2, mitochondrial"
B05XB01,Cationic amino acid transporter 4
B05XB01,Argininosuccinate synthase
G01AD03,Hyaluronate lyase
G01AD03,DNA
G01AD03,Xylose isomerase
G01AD03,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2"
G01AD03,"Phytanoyl-CoA dioxygenase, peroxisomal"
G01AD03,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3"
G01AD03,Gamma-butyrobetaine dioxygenase
G01AD03,Dopamine beta-hydroxylase
G01AD03,Peptidyl-glycine alpha-amidating monooxygenase
G01AD03,Prolyl 3-hydroxylase 1
G01AD03,Prolyl 3-hydroxylase 2
G01AD03,Prolyl 3-hydroxylase 3
G01AD03,Prolyl 4-hydroxylase subunit alpha-1
G01AD03,2-oxoglutarate and iron-dependent oxygenase domain-containing protein 1
G01AD03,2-oxoglutarate and iron-dependent oxygenase domain-containing protein 2
G01AD03,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 2
G01AD03,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3
G01AD03,Lysine-specific demethylase 5D
G01AD03,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1"
G01AD03,"Trimethyllysine dioxygenase, mitochondrial"
G01AD03,Transmembrane prolyl 4-hydroxylase
G01AD03,Egl nine homolog 1
G01AD03,Egl nine homolog 2
G01AD03,Egl nine homolog 3
A11GA01,Hyaluronate lyase
A11GA01,DNA
A11GA01,Xylose isomerase
A11GA01,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2"
A11GA01,"Phytanoyl-CoA dioxygenase, peroxisomal"
A11GA01,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3"
A11GA01,Gamma-butyrobetaine dioxygenase
A11GA01,Dopamine beta-hydroxylase
A11GA01,Peptidyl-glycine alpha-amidating monooxygenase
A11GA01,Prolyl 3-hydroxylase 1
A11GA01,Prolyl 3-hydroxylase 2
A11GA01,Prolyl 3-hydroxylase 3
A11GA01,Prolyl 4-hydroxylase subunit alpha-1
A11GA01,2-oxoglutarate and iron-dependent oxygenase domain-containing protein 1
A11GA01,2-oxoglutarate and iron-dependent oxygenase domain-containing protein 2
A11GA01,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 2
A11GA01,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3
A11GA01,Lysine-specific demethylase 5D
A11GA01,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1"
A11GA01,"Trimethyllysine dioxygenase, mitochondrial"
A11GA01,Transmembrane prolyl 4-hydroxylase
A11GA01,Egl nine homolog 1
A11GA01,Egl nine homolog 2
A11GA01,Egl nine homolog 3
A11GB01,Hyaluronate lyase
A11GB01,DNA
A11GB01,Xylose isomerase
A11GB01,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2"
A11GB01,"Phytanoyl-CoA dioxygenase, peroxisomal"
A11GB01,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3"
A11GB01,Gamma-butyrobetaine dioxygenase
A11GB01,Dopamine beta-hydroxylase
A11GB01,Peptidyl-glycine alpha-amidating monooxygenase
A11GB01,Prolyl 3-hydroxylase 1
A11GB01,Prolyl 3-hydroxylase 2
A11GB01,Prolyl 3-hydroxylase 3
A11GB01,Prolyl 4-hydroxylase subunit alpha-1
A11GB01,2-oxoglutarate and iron-dependent oxygenase domain-containing protein 1
A11GB01,2-oxoglutarate and iron-dependent oxygenase domain-containing protein 2
A11GB01,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 2
A11GB01,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3
A11GB01,Lysine-specific demethylase 5D
A11GB01,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1"
A11GB01,"Trimethyllysine dioxygenase, mitochondrial"
A11GB01,Transmembrane prolyl 4-hydroxylase
A11GB01,Egl nine homolog 1
A11GB01,Egl nine homolog 2
A11GB01,Egl nine homolog 3
S01XA15,Hyaluronate lyase
S01XA15,DNA
S01XA15,Xylose isomerase
S01XA15,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2"
S01XA15,"Phytanoyl-CoA dioxygenase, peroxisomal"
S01XA15,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3"
S01XA15,Gamma-butyrobetaine dioxygenase
S01XA15,Dopamine beta-hydroxylase
S01XA15,Peptidyl-glycine alpha-amidating monooxygenase
S01XA15,Prolyl 3-hydroxylase 1
S01XA15,Prolyl 3-hydroxylase 2
S01XA15,Prolyl 3-hydroxylase 3
S01XA15,Prolyl 4-hydroxylase subunit alpha-1
S01XA15,2-oxoglutarate and iron-dependent oxygenase domain-containing protein 1
S01XA15,2-oxoglutarate and iron-dependent oxygenase domain-containing protein 2
S01XA15,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 2
S01XA15,Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3
S01XA15,Lysine-specific demethylase 5D
S01XA15,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1"
S01XA15,"Trimethyllysine dioxygenase, mitochondrial"
S01XA15,Transmembrane prolyl 4-hydroxylase
S01XA15,Egl nine homolog 1
S01XA15,Egl nine homolog 2
S01XA15,Egl nine homolog 3
A05BA06,"Ornithine aminotransferase, mitochondrial"
A05BA06,"Ornithine carbamoyltransferase, mitochondrial"
A05BA06,Arginase-1
A05BA06,Ornithine decarboxylase antizyme 1
A05BA06,High affinity cationic amino acid transporter 1
A05BA06,Low affinity cationic amino acid transporter 2
A05BA06,Mitochondrial ornithine transporter 2
A05BA06,"Arginase-2, mitochondrial"
A05BA06,Mitochondrial ornithine transporter 1
A05BA06,"Glycine amidinotransferase, mitochondrial"
A16AA03,CTP synthase 1
A16AA03,Amidophosphoribosyltransferase
A16AA03,Glutamine synthetase
V03AB26,Methionine synthase reductase
V03AB26,Methionine synthase
V03AB26,Methionine aminopeptidase 2
V03AB26,Betaine--homocysteine S-methyltransferase 1
V03AB26,S-methylmethionine--homocysteine S-methyltransferase BHMT2
D05AX03,Vitamin D3 receptor
D05AX03,Homeobox protein Hox-A10
A11CC04,Vitamin D3 receptor
A11CC04,Homeobox protein Hox-A10
A11HA04,Riboflavin kinase
A11HA04,Riboflavin synthase
A11HA04,Flavin reductase (NADPH)
S01XA26,Riboflavin kinase
S01XA26,Riboflavin synthase
S01XA26,Flavin reductase (NADPH)
A09AB01,Metabotropic glutamate receptor 1
A09AB01,Metabotropic glutamate receptor 4
A09AB01,"Glutamate receptor ionotropic, kainate 4"
A09AB01,"Glutamate receptor ionotropic, kainate 5"
A09AB01,Metabotropic glutamate receptor 7
A09AB01,Metabotropic glutamate receptor 8
A09AB01,Excitatory amino acid transporter 5
A09AB01,5-oxoprolinase
A09AB01,Phosphoribosylformylglycinamidine synthase
A09AB01,"Branched-chain-amino-acid aminotransferase, mitochondrial"
A09AB01,"Glutamate receptor ionotropic, NMDA 2D"
A09AB01,"Glutaminase kidney isoform, mitochondrial"
A09AB01,"Aspartate aminotransferase, mitochondrial"
A09AB01,Bifunctional glutamate/proline--tRNA ligase
A09AB01,Asparagine synthetase [glutamine-hydrolyzing]
A09AB01,Glutamine synthetase
A09AB01,"Aspartate aminotransferase, cytoplasmic"
A09AB01,Tyrosine aminotransferase
A09AB01,Alanine aminotransferase 1
A09AB01,Vitamin K-dependent gamma-carboxylase
A09AB01,Excitatory amino acid transporter 1
A09AB01,Excitatory amino acid transporter 2
A09AB01,Excitatory amino acid transporter 3
A09AB01,Glutamate--cysteine ligase catalytic subunit
A09AB01,Excitatory amino acid transporter 4
