drugid,target
BTD00035,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha
BTD00035,Interleukin-3 receptor subunit alpha
BTD00035,Cytokine receptor common subunit beta
BTD00035,Syndecan-2
BTD00035,Bone marrow proteoglycan
BIOD00035,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha
BIOD00035,Interleukin-3 receptor subunit alpha
BIOD00035,Cytokine receptor common subunit beta
BIOD00035,Syndecan-2
BIOD00035,Bone marrow proteoglycan
DB00022,Interferon alpha/beta receptor 1
DB00022,Interferon alpha/beta receptor 2
BTD00048,Interferon alpha/beta receptor 1
BTD00048,Interferon alpha/beta receptor 2
BIOD00048,Interferon alpha/beta receptor 1
BIOD00048,Interferon alpha/beta receptor 2
DB00023,L-asparagine
BTD00011,L-asparagine
BIOD00011,L-asparagine
DB00024,Thyrotropin receptor
BTD00020,Thyrotropin receptor
BIOD00020,Thyrotropin receptor
DB00025,Coagulation factor X
DB00025,Coagulation factor IX
DB00025,von Willebrand factor
DB00025,"Phytanoyl-CoA dioxygenase, peroxisomal"
DB00025,Asialoglycoprotein receptor 2
DB00025,78 kDa glucose-regulated protein
DB00025,Calreticulin
DB00025,Calnexin
DB00025,Protein ERGIC-53
DB00025,Prolow-density lipoprotein receptor-related protein 1
DB00025,Multiple coagulation factor deficiency protein 2
BTD00029,Coagulation factor X
BTD00029,Coagulation factor IX
BTD00029,von Willebrand factor
BTD00029,"Phytanoyl-CoA dioxygenase, peroxisomal"
BTD00029,Asialoglycoprotein receptor 2
BTD00029,78 kDa glucose-regulated protein
BTD00029,Calreticulin
BTD00029,Calnexin
BTD00029,Protein ERGIC-53
BTD00029,Prolow-density lipoprotein receptor-related protein 1
BTD00029,Multiple coagulation factor deficiency protein 2
BIOD00029,Coagulation factor X
BIOD00029,Coagulation factor IX
BIOD00029,von Willebrand factor
BIOD00029,"Phytanoyl-CoA dioxygenase, peroxisomal"
BIOD00029,Asialoglycoprotein receptor 2
BIOD00029,78 kDa glucose-regulated protein
BIOD00029,Calreticulin
BIOD00029,Calnexin
BIOD00029,Protein ERGIC-53
BIOD00029,Prolow-density lipoprotein receptor-related protein 1
BIOD00029,Multiple coagulation factor deficiency protein 2
DB13162,Coagulation factor X
DB13162,Coagulation factor IX
DB13162,von Willebrand factor
DB13162,"Phytanoyl-CoA dioxygenase, peroxisomal"
DB13162,Asialoglycoprotein receptor 2
DB13162,78 kDa glucose-regulated protein
DB13162,Calreticulin
DB13162,Calnexin
DB13162,Protein ERGIC-53
DB13162,Prolow-density lipoprotein receptor-related protein 1
DB13162,Multiple coagulation factor deficiency protein 2
DBSALT002413,Coagulation factor X
DBSALT002413,Coagulation factor IX
DBSALT002413,von Willebrand factor
DBSALT002413,"Phytanoyl-CoA dioxygenase, peroxisomal"
DBSALT002413,Asialoglycoprotein receptor 2
DBSALT002413,78 kDa glucose-regulated protein
DBSALT002413,Calreticulin
DBSALT002413,Calnexin
DBSALT002413,Protein ERGIC-53
DBSALT002413,Prolow-density lipoprotein receptor-related protein 1
DBSALT002413,Multiple coagulation factor deficiency protein 2
DB00026,Interleukin-1 receptor type 1
BTD00060,Interleukin-1 receptor type 1
BIOD00060,Interleukin-1 receptor type 1
DB00028,High affinity immunoglobulin gamma Fc receptor I
DB00028,High affinity immunoglobulin gamma Fc receptor IB
DB00028,Low affinity immunoglobulin gamma Fc region receptor II-a
DB00028,Low affinity immunoglobulin gamma Fc region receptor II-b
DB00028,Low affinity immunoglobulin gamma Fc region receptor II-c
DB00028,Low affinity immunoglobulin gamma Fc region receptor III-A
DB00028,Low affinity immunoglobulin gamma Fc region receptor III-B
DB00028,Complement C3
DB00028,Complement C4-A
DB00028,Complement C4-B
DB00028,Complement C5
BTD00091,High affinity immunoglobulin gamma Fc receptor I
BTD00091,High affinity immunoglobulin gamma Fc receptor IB
BTD00091,Low affinity immunoglobulin gamma Fc region receptor II-a
BTD00091,Low affinity immunoglobulin gamma Fc region receptor II-b
BTD00091,Low affinity immunoglobulin gamma Fc region receptor II-c
BTD00091,Low affinity immunoglobulin gamma Fc region receptor III-A
BTD00091,Low affinity immunoglobulin gamma Fc region receptor III-B
BTD00091,Complement C3
BTD00091,Complement C4-A
BTD00091,Complement C4-B
BTD00091,Complement C5
BIOD00091,High affinity immunoglobulin gamma Fc receptor I
BIOD00091,High affinity immunoglobulin gamma Fc receptor IB
BIOD00091,Low affinity immunoglobulin gamma Fc region receptor II-a
BIOD00091,Low affinity immunoglobulin gamma Fc region receptor II-b
BIOD00091,Low affinity immunoglobulin gamma Fc region receptor II-c
BIOD00091,Low affinity immunoglobulin gamma Fc region receptor III-A
BIOD00091,Low affinity immunoglobulin gamma Fc region receptor III-B
BIOD00091,Complement C3
BIOD00091,Complement C4-A
BIOD00091,Complement C4-B
BIOD00091,Complement C5
DB00029,Plasminogen
DB00029,Fibrinogen alpha chain
DB00029,Plasminogen activator inhibitor 1
BTD00102,Plasminogen
BTD00102,Fibrinogen alpha chain
BTD00102,Plasminogen activator inhibitor 1
BIOD00102,Plasminogen
BIOD00102,Fibrinogen alpha chain
BIOD00102,Plasminogen activator inhibitor 1
DB00030,Insulin receptor
DB00030,Insulin-like growth factor 1 receptor
DB00030,Carboxypeptidase E
DB00030,Protein NOV homolog
DB00030,Low-density lipoprotein receptor-related protein 2
DB00030,Insulin-like growth factor-binding protein 7
BTD00105,Insulin receptor
BTD00105,Insulin-like growth factor 1 receptor
BTD00105,Carboxypeptidase E
BTD00105,Protein NOV homolog
BTD00105,Low-density lipoprotein receptor-related protein 2
BTD00105,Insulin-like growth factor-binding protein 7
BIOD00105,Insulin receptor
BIOD00105,Insulin-like growth factor 1 receptor
BIOD00105,Carboxypeptidase E
BIOD00105,Protein NOV homolog
BIOD00105,Low-density lipoprotein receptor-related protein 2
BIOD00105,Insulin-like growth factor-binding protein 7
DB01383,Insulin receptor
DB01383,Insulin-like growth factor 1 receptor
DB01383,Carboxypeptidase E
DB01383,Protein NOV homolog
DB01383,Low-density lipoprotein receptor-related protein 2
DB01383,Insulin-like growth factor-binding protein 7
DB05278,Insulin receptor
DB05278,Insulin-like growth factor 1 receptor
DB05278,Carboxypeptidase E
DB05278,Protein NOV homolog
DB05278,Low-density lipoprotein receptor-related protein 2
DB05278,Insulin-like growth factor-binding protein 7
DB05215,Insulin receptor
DB05215,Insulin-like growth factor 1 receptor
DB05215,Carboxypeptidase E
DB05215,Protein NOV homolog
DB05215,Low-density lipoprotein receptor-related protein 2
DB05215,Insulin-like growth factor-binding protein 7
DB05283,Insulin receptor
DB05283,Insulin-like growth factor 1 receptor
DB05283,Carboxypeptidase E
DB05283,Protein NOV homolog
DB05283,Low-density lipoprotein receptor-related protein 2
DB05283,Insulin-like growth factor-binding protein 7
DB08914,Insulin receptor
DB08914,Insulin-like growth factor 1 receptor
DB08914,Carboxypeptidase E
DB08914,Protein NOV homolog
DB08914,Low-density lipoprotein receptor-related protein 2
DB08914,Insulin-like growth factor-binding protein 7
DB00031,Plasminogen
DB00031,Fibrinogen alpha chain
DB00031,Urokinase plasminogen activator surface receptor
DB00031,Plasminogen activator inhibitor 1
DB00031,Plasminogen activator inhibitor 2
DB00031,Tetranectin
DB00031,"Keratin, type II cytoskeletal 8"
DB00031,Annexin A2
DB00031,Calreticulin
DB00031,Calnexin
DB00031,Prolow-density lipoprotein receptor-related protein 1
BTD00019,Plasminogen
BTD00019,Fibrinogen alpha chain
BTD00019,Urokinase plasminogen activator surface receptor
BTD00019,Plasminogen activator inhibitor 1
BTD00019,Plasminogen activator inhibitor 2
BTD00019,Tetranectin
BTD00019,"Keratin, type II cytoskeletal 8"
BTD00019,Annexin A2
BTD00019,Calreticulin
BTD00019,Calnexin
BTD00019,Prolow-density lipoprotein receptor-related protein 1
BIOD00019,Plasminogen
BIOD00019,Fibrinogen alpha chain
BIOD00019,Urokinase plasminogen activator surface receptor
BIOD00019,Plasminogen activator inhibitor 1
BIOD00019,Plasminogen activator inhibitor 2
BIOD00019,Tetranectin
BIOD00019,"Keratin, type II cytoskeletal 8"
BIOD00019,Annexin A2
BIOD00019,Calreticulin
BIOD00019,Calnexin
BIOD00019,Prolow-density lipoprotein receptor-related protein 1
DB00032,Follicle-stimulating hormone receptor
DB00032,Lutropin-choriogonadotropic hormone receptor
BTD00018,Follicle-stimulating hormone receptor
BTD00018,Lutropin-choriogonadotropic hormone receptor
BIOD00018,Follicle-stimulating hormone receptor
BIOD00018,Lutropin-choriogonadotropic hormone receptor
DB00033,Interferon gamma receptor 1
DB00033,Interferon gamma receptor 2
BTD00017,Interferon gamma receptor 1
BTD00017,Interferon gamma receptor 2
BIOD00017,Interferon gamma receptor 1
BIOD00017,Interferon gamma receptor 2
DB00034,Interferon alpha/beta receptor 1
DB00034,Interferon alpha/beta receptor 2
BTD00095,Interferon alpha/beta receptor 1
BTD00095,Interferon alpha/beta receptor 2
BTD00012,Interferon alpha/beta receptor 1
BTD00012,Interferon alpha/beta receptor 2
BIOD00095,Interferon alpha/beta receptor 1
BIOD00095,Interferon alpha/beta receptor 2
BIOD00012,Interferon alpha/beta receptor 1
BIOD00012,Interferon alpha/beta receptor 2
DB00037,Interferon alpha/beta receptor 1
DB00037,Interferon alpha/beta receptor 2
DB00035,Vasopressin V2 receptor
DB00035,Vasopressin V1a receptor
DB00035,Vasopressin V1b receptor
BTD00112,Vasopressin V2 receptor
BTD00112,Vasopressin V1a receptor
BTD00112,Vasopressin V1b receptor
BTD00061,Vasopressin V2 receptor
BTD00061,Vasopressin V1a receptor
BTD00061,Vasopressin V1b receptor
BIOD00112,Vasopressin V2 receptor
BIOD00112,Vasopressin V1a receptor
BIOD00112,Vasopressin V1b receptor
BIOD00061,Vasopressin V2 receptor
BIOD00061,Vasopressin V1a receptor
BIOD00061,Vasopressin V1b receptor
DB00036,Coagulation factor X
DB00036,Tissue factor pathway inhibitor
DB00036,Vitamin K-dependent gamma-carboxylase
DB00036,Coagulation factor VII
DB00036,Tissue factor
BTD00006,Coagulation factor X
BTD00006,Tissue factor pathway inhibitor
BTD00006,Vitamin K-dependent gamma-carboxylase
BTD00006,Coagulation factor VII
BTD00006,Tissue factor
BIOD00006,Coagulation factor X
BIOD00006,Tissue factor pathway inhibitor
BIOD00006,Vitamin K-dependent gamma-carboxylase
BIOD00006,Coagulation factor VII
BIOD00006,Tissue factor
DB00038,Interleukin-11 receptor subunit alpha
BTD00021,Interleukin-11 receptor subunit alpha
BIOD00021,Interleukin-11 receptor subunit alpha
DB00039,Fibroblast growth factor receptor 2
DB00039,Fibroblast growth factor receptor 1
DB00039,Basement membrane-specific heparan sulfate proteoglycan core protein
BTD00042,Fibroblast growth factor receptor 2
BTD00042,Fibroblast growth factor receptor 1
BTD00042,Basement membrane-specific heparan sulfate proteoglycan core protein
BIOD00042,Fibroblast growth factor receptor 2
BIOD00042,Fibroblast growth factor receptor 1
BIOD00042,Basement membrane-specific heparan sulfate proteoglycan core protein
DB00040,Glucagon receptor
DB00040,Glucagon-like peptide 2 receptor
DB00040,Glucagon-like peptide 1 receptor
BTD00057,Glucagon receptor
BTD00057,Glucagon-like peptide 2 receptor
BTD00057,Glucagon-like peptide 1 receptor
BIOD00057,Glucagon receptor
BIOD00057,Glucagon-like peptide 2 receptor
BIOD00057,Glucagon-like peptide 1 receptor
DB00041,Interleukin-2 receptor subunit beta
DB00041,Interleukin-2 receptor subunit alpha
DB00041,Cytokine receptor common subunit gamma
BTD00082,Interleukin-2 receptor subunit beta
BTD00082,Interleukin-2 receptor subunit alpha
BTD00082,Cytokine receptor common subunit gamma
BIOD00082,Interleukin-2 receptor subunit beta
BIOD00082,Interleukin-2 receptor subunit alpha
BIOD00082,Cytokine receptor common subunit gamma
DB00042,Vesicle-associated membrane protein 2
DB00042,Vesicle-associated membrane protein 1
DB00042,Synaptotagmin-2
BTD00070,Vesicle-associated membrane protein 2
BTD00070,Vesicle-associated membrane protein 1
BTD00070,Synaptotagmin-2
BIOD00070,Vesicle-associated membrane protein 2
BIOD00070,Vesicle-associated membrane protein 1
BIOD00070,Synaptotagmin-2
DB00043,High affinity immunoglobulin epsilon receptor subunit alpha
DB00043,High affinity immunoglobulin epsilon receptor subunit beta
BTD00081,High affinity immunoglobulin epsilon receptor subunit alpha
BTD00081,High affinity immunoglobulin epsilon receptor subunit beta
BIOD00081,High affinity immunoglobulin epsilon receptor subunit alpha
BIOD00081,High affinity immunoglobulin epsilon receptor subunit beta
DB00044,Lutropin-choriogonadotropic hormone receptor
BTD00056,Lutropin-choriogonadotropic hormone receptor
BIOD00056,Lutropin-choriogonadotropic hormone receptor
DB00045,Toll-like receptor 2
BTD00054,Toll-like receptor 2
BIOD00054,Toll-like receptor 2
DB00046,Insulin receptor
DB00046,Insulin-like growth factor 1 receptor
BTD00065,Insulin receptor
BTD00065,Insulin-like growth factor 1 receptor
BIOD00065,Insulin receptor
BIOD00065,Insulin-like growth factor 1 receptor
DB01310,Insulin receptor
DB01310,Insulin-like growth factor 1 receptor
DB00047,Insulin receptor
DB00047,Insulin-like growth factor 1 receptor
BTD00045,Insulin receptor
BTD00045,Insulin-like growth factor 1 receptor
BIOD00045,Insulin receptor
BIOD00045,Insulin-like growth factor 1 receptor
DB01308,Insulin receptor
DB01308,Insulin-like growth factor 1 receptor
DB00048,Collagen alpha-1(I) chain
DB00048,Collagen alpha-1(II) chain
DB00048,Collagen alpha-1(III) chain
BTD00010,Collagen alpha-1(I) chain
BTD00010,Collagen alpha-1(II) chain
BTD00010,Collagen alpha-1(III) chain
BIOD00010,Collagen alpha-1(I) chain
BIOD00010,Collagen alpha-1(II) chain
BIOD00010,Collagen alpha-1(III) chain
DB11249,Collagen alpha-1(I) chain
DB11249,Collagen alpha-1(II) chain
DB11249,Collagen alpha-1(III) chain
DB00049,Uric acid
BTD00090,Uric acid
BIOD00090,Uric acid
DB00050,Gonadotropin-releasing hormone receptor
DB00050,Lutropin-choriogonadotropic hormone receptor
BTD00115,Gonadotropin-releasing hormone receptor
BTD00115,Lutropin-choriogonadotropic hormone receptor
APRD00686,Gonadotropin-releasing hormone receptor
APRD00686,Lutropin-choriogonadotropic hormone receptor
BIOD00115,Gonadotropin-releasing hormone receptor
BIOD00115,Lutropin-choriogonadotropic hormone receptor
DB00051,Tumor necrosis factor
BTD00049,Tumor necrosis factor
BIOD00049,Tumor necrosis factor
DB00052,Growth hormone receptor
DB00052,Prolactin receptor
BTD00086,Growth hormone receptor
BTD00086,Prolactin receptor
BIOD00086,Growth hormone receptor
BIOD00086,Prolactin receptor
DB06417,Growth hormone receptor
DB06417,Prolactin receptor
DB00053,Glucocerebroside
BTD00026,Glucocerebroside
BIOD00026,Glucocerebroside
DB00054,Integrin beta-3
DB00054,Integrin alpha-IIb
DB00054,Low affinity immunoglobulin gamma Fc region receptor II-a
DB00054,Low affinity immunoglobulin gamma Fc region receptor II-b
DB00054,Vitronectin
BTD00041,Integrin beta-3
BTD00041,Integrin alpha-IIb
BTD00041,Low affinity immunoglobulin gamma Fc region receptor II-a
BTD00041,Low affinity immunoglobulin gamma Fc region receptor II-b
BTD00041,Vitronectin
BIOD00041,Integrin beta-3
BIOD00041,Integrin alpha-IIb
BIOD00041,Low affinity immunoglobulin gamma Fc region receptor II-a
BIOD00041,Low affinity immunoglobulin gamma Fc region receptor II-b
BIOD00041,Vitronectin
DB00055,Coagulation factor VIII
DB00055,Coagulation factor V
DB00055,Plasminogen activator inhibitor 1
DB00055,Thrombomodulin
DB00055,Vitamin K-dependent protein S
DB00055,Prothrombin
DB00055,Platelet factor 4
DB00055,Plasma serine protease inhibitor
DB00055,Serpin B6
DB00055,Endothelial protein C receptor
BTD00068,Coagulation factor VIII
BTD00068,Coagulation factor V
BTD00068,Plasminogen activator inhibitor 1
BTD00068,Thrombomodulin
BTD00068,Vitamin K-dependent protein S
BTD00068,Prothrombin
BTD00068,Platelet factor 4
BTD00068,Plasma serine protease inhibitor
BTD00068,Serpin B6
BTD00068,Endothelial protein C receptor
BIOD00068,Coagulation factor VIII
BIOD00068,Coagulation factor V
BIOD00068,Plasminogen activator inhibitor 1
BIOD00068,Thrombomodulin
BIOD00068,Vitamin K-dependent protein S
BIOD00068,Prothrombin
BIOD00068,Platelet factor 4
BIOD00068,Plasma serine protease inhibitor
BIOD00068,Serpin B6
BIOD00068,Endothelial protein C receptor
DB00056,Myeloid cell surface antigen CD33
DB00056,Low affinity immunoglobulin gamma Fc region receptor III-B
DB00056,Low affinity immunoglobulin gamma Fc region receptor III-A
DB00056,High affinity immunoglobulin gamma Fc receptor I
BTD00077,Myeloid cell surface antigen CD33
BTD00077,Low affinity immunoglobulin gamma Fc region receptor III-B
BTD00077,Low affinity immunoglobulin gamma Fc region receptor III-A
BTD00077,High affinity immunoglobulin gamma Fc receptor I
BIOD00077,Myeloid cell surface antigen CD33
BIOD00077,Low affinity immunoglobulin gamma Fc region receptor III-B
BIOD00077,Low affinity immunoglobulin gamma Fc region receptor III-A
BIOD00077,High affinity immunoglobulin gamma Fc receptor I
DB00057,Tumor-associated glycoprotein 72 (TAG-72)
BTD00108,Tumor-associated glycoprotein 72 (TAG-72)
BIOD00108,Tumor-associated glycoprotein 72 (TAG-72)
DB00058,Neutrophil elastase
BTD00002,Neutrophil elastase
BIOD00002,Neutrophil elastase
DB00059,L-asparagine
BTD00079,L-asparagine
BIOD00079,L-asparagine
DB00060,Interferon alpha/beta receptor 1
DB00060,Interferon alpha/beta receptor 2
BTD00093,Interferon alpha/beta receptor 1
BTD00093,Interferon alpha/beta receptor 2
BIOD00093,Interferon alpha/beta receptor 1
BIOD00093,Interferon alpha/beta receptor 2
DB00061,Adenosine
DB00061,Growth factor receptor-bound protein 2
BTD00100,Adenosine
BTD00100,Growth factor receptor-bound protein 2
BIOD00100,Adenosine
BIOD00100,Growth factor receptor-bound protein 2
DB00062,Nitric oxide
BTD00059,Nitric oxide
BTD00089,Nitric oxide
BTD00101,Nitric oxide
BIOD00059,Nitric oxide
BIOD00089,Nitric oxide
BIOD00101,Nitric oxide
DB00096,Nitric oxide
DB00064,Nitric oxide
DB00063,Integrin beta-3
BTD00063,Integrin beta-3
BIOD00063,Integrin beta-3
DB00065,Tumor necrosis factor
BTD00004,Tumor necrosis factor
BIOD00004,Tumor necrosis factor
DB00066,Follicle-stimulating hormone receptor
BTD00099,Follicle-stimulating hormone receptor
BTD00064,Follicle-stimulating hormone receptor
BIOD00099,Follicle-stimulating hormone receptor
BIOD00064,Follicle-stimulating hormone receptor
DB09024,Follicle-stimulating hormone receptor
DB00067,Vasopressin V2 receptor
DB00067,Vasopressin V1a receptor
DB00067,Vasopressin V1b receptor
DB00067,Oxytocin receptor
BTD00110,Vasopressin V2 receptor
BTD00110,Vasopressin V1a receptor
BTD00110,Vasopressin V1b receptor
BTD00110,Oxytocin receptor
BIOD00110,Vasopressin V2 receptor
BIOD00110,Vasopressin V1a receptor
BIOD00110,Vasopressin V1b receptor
BIOD00110,Oxytocin receptor
DB09392,Vasopressin V2 receptor
DB09392,Vasopressin V1a receptor
DB09392,Vasopressin V1b receptor
DB09392,Oxytocin receptor
DB00068,Interferon alpha/beta receptor 1
DB00068,Interferon alpha/beta receptor 2
BTD00078,Interferon alpha/beta receptor 1
BTD00078,Interferon alpha/beta receptor 2
BIOD00078,Interferon alpha/beta receptor 1
BIOD00078,Interferon alpha/beta receptor 2
DB00069,Interferon alpha/beta receptor 1
DB00069,Interferon alpha/beta receptor 2
BTD00062,Interferon alpha/beta receptor 1
BTD00062,Interferon alpha/beta receptor 2
BIOD00062,Interferon alpha/beta receptor 1
BIOD00062,Interferon alpha/beta receptor 2
DB00070,Hyaluronan
DB00070,Transforming growth factor beta-1
BTD00022,Hyaluronan
BTD00022,Transforming growth factor beta-1
BIOD00022,Hyaluronan
BIOD00022,Transforming growth factor beta-1
DB00071,Insulin receptor
DB00071,Insulin-like growth factor 1 receptor
BTD00031,Insulin receptor
BTD00031,Insulin-like growth factor 1 receptor
BIOD00031,Insulin receptor
BIOD00031,Insulin-like growth factor 1 receptor
DB00072,Receptor tyrosine-protein kinase erbB-2
BTD00098,Receptor tyrosine-protein kinase erbB-2
BIOD00098,Receptor tyrosine-protein kinase erbB-2
DB00073,B-lymphocyte antigen CD20
BTD00014,B-lymphocyte antigen CD20
BIOD00014,B-lymphocyte antigen CD20
DB00074,Interleukin-2 receptor subunit alpha
DB00074,Interleukin-2 receptor subunit beta
BTD00073,Interleukin-2 receptor subunit alpha
