atccode,name
C02LA01,Reserpine
C02LA71,Reserpine
C02AA52,Reserpine
J01RA07,Azithromycin
S01AA26,Azithromycin
J01FA10,Azithromycin
B01AC05,Ticlopidine
A03DA06,Trospium
G04BD09,Trospium
D10AD03,Adapalene
D10AD53,Adapalene
C01CA17,Midodrine
C09XA01,Remikiren
A02BD04,Pantoprazole
A02BD11,Pantoprazole
A02BC02,Pantoprazole
C03CA04,Torasemide
G01AE10,Torasemide
N06AB04,Citalopram
N02CC06,Eletriptan
C02CC01,Bethanidine
S01AE07,Moxifloxacin
J01MA14,Moxifloxacin
A03AB53,Oxyphenonium
A03AB03,Oxyphenonium
J05AE04,Nelfinavir
A10BD04,Glimepiride
A10BB12,Glimepiride
A10BD06,Glimepiride
D07AC10,Diflorasone
J05AE02,Indinavir
V08CA03,Gadodiamide
C10AA02,Lovastatin
C10BA01,Lovastatin
N01AB04,Enflurane
J01DC07,Cefotiam
N03AX16,Pregabalin
N05CD07,Temazepam
C03AA08,Methyclothiazide
C03AB08,Methyclothiazide
J04AA02,Aminosalicylic acid
J04AA03,Aminosalicylic acid
J04AA01,Aminosalicylic acid
N06AX18,Reboxetine
C01CE02,Milrinone
L01AX02,Pipobroman
N05CB01,Butabarbital
J05AG01,Nevirapine
J05AR05,Nevirapine
J05AR07,Nevirapine
D01AC11,Oxiconazole
G01AF17,Oxiconazole
G01AF20,Oxiconazole
D07AB10,Alclometasone
S01BA10,Alclometasone
N05CB01,Butalbital
L04AA40,Cladribine
L01BB04,Cladribine
C01EB18,Ranolazine
A07EC02,Mesalazine
N04AC01,Benzatropine
N05AE04,Ziprasidone
N02CA04,Methysergide
N04BC06,Cabergoline
G02CB03,Cabergoline
D06BB01,Idoxuridine
J05AB02,Idoxuridine
S01AD01,Idoxuridine
D10AX05,Dapsone
J04BA02,Dapsone
G01AG02,Terconazole
N03AB02,Phenytoin
N03AB52,Phenytoin
S01BA08,Medrysone
J01AA02,Doxycycline
A01AB22,Doxycycline
J01AA20,Doxycycline
L02AA04,Diethylstilbestrol
L02AA01,Diethylstilbestrol
G03CC05,Diethylstilbestrol
G03CB02,Diethylstilbestrol
J01AA04,Lymecycline
J01AA20,Lymecycline
D01AC01,Clotrimazole
A01AB18,Clotrimazole
G01AF02,Clotrimazole
G01AF20,Clotrimazole
V03AE04,Calcium acetate
A11GB01,Calcium acetate
V03AE07,Calcium acetate
G01AE10,Sulfanilamide
J01EB06,Sulfanilamide
D06BA05,Sulfanilamide
J04AB01,Cycloserine
L01XX35,Anagrelide
L01AD01,Carmustine
J01EB05,Sulfisoxazole
G01AE10,Sulfisoxazole
S01AB02,Sulfisoxazole
C07FB02,Metoprolol
C07FX05,Metoprolol
C07FX03,Metoprolol
C07FB13,Metoprolol
C07AB02,Metoprolol
C07BB52,Metoprolol
C07CB02,Metoprolol
C07BB02,Metoprolol
B01AA01,Dicoumarol
J01DD05,Cefmenoxime
N04BC04,Ropinirole
G03CA06,Chlorotrianisene
C08CA03,Isradipine
V08AA01,Diatrizoate
V04CG02,Betazole
N03AX11,Topiramate
J01DC09,Cefmetazole
C09DA08,Olmesartan
C09DX03,Olmesartan
C09CA08,Olmesartan
C09DB02,Olmesartan
L01XX01,Amsacrine
R03DA54,Theophylline
R03DA74,Theophylline
R03DA20,Theophylline
R03DA04,Theophylline
R03DB04,Theophylline
B01AE03,Argatroban
H03AA03,Liothyronine
H03AA02,Liothyronine
C01BA03,Disopyramide
S01HA07,Lidocaine
D04AB01,Lidocaine
R02AD02,Lidocaine
C01BB01,Lidocaine
S02DA01,Lidocaine
N01BB52,Lidocaine
C05AD01,Lidocaine
N01BB02,Lidocaine
M05BA03,Pamidronic acid
D04AA14,Clemastine
R06AA54,Clemastine
R06AA04,Clemastine
A10BD17,Acarbose
A10BF01,Acarbose
N06AX16,Venlafaxine
G03CA57,Conjugated estrogens
G03CC07,Conjugated estrogens
S01EE04,Travoprost
D07AC11,Amcinonide
N06BA09,Atomoxetine
L01DC01,Bleomycin
L01AA02,Chlorambucil
N01AX07,Etomidate
L01BA03,Raltitrexed
G03AC08,Etonogestrel
A07DA52,Morphine
N02AA51,Morphine
N02AA01,Morphine
N02AG01,Morphine
N01BB09,Ropivacaine
N01BB01,Bupivacaine
N01BB51,Bupivacaine
S01EX02,Dapiprazole
D06BB06,Penciclovir
J05AB13,Penciclovir
J05AR27,Tenofovir disoproxil
J05AF07,Tenofovir disoproxil
J05AR08,Tenofovir disoproxil
J05AR11,Tenofovir disoproxil
J05AR09,Tenofovir disoproxil
J05AR06,Tenofovir disoproxil
J05AR24,Tenofovir disoproxil
J05AR12,Tenofovir disoproxil
J05AR03,Tenofovir disoproxil
J01CR50,Flucloxacillin
J01CF05,Flucloxacillin
B02AA02,Tranexamic acid
J01DH03,Ertapenem
G03AC09,Desogestrel
G03FB10,Desogestrel
G03AB05,Desogestrel
G03AA09,Desogestrel
L01DC03,Mitomycin
N05CA07,Talbutal
L01XX25,Bexarotene
C01BD05,Ibutilide
L01CA03,Vindesine
G01AE10,Chlorthalidone
C03EA06,Chlorthalidone
C03BB04,Chlorthalidone
C03BA04,Chlorthalidone
N05CB01,Pentobarbital
N05CA01,Pentobarbital
N03AG01,Valproic acid
J04AB30,Capreomycin
N02CC03,Zolmitriptan
N02BE71,Acetaminophen
N02BE01,Acetaminophen
N02AJ13,Acetaminophen
N02AJ17,Acetaminophen
N02BE51,Acetaminophen
N02AJ06,Acetaminophen
N02AJ01,Acetaminophen
L01XE02,Gefitinib
N02AA79,Codeine
R05DA04,Codeine
N02AA59,Codeine
N02AJ08,Codeine
N02AJ06,Codeine
N02AJ07,Codeine
J01CA12,Piperacillin
J01CR50,Piperacillin
N02CA51,Dihydroergotamine
N02CA01,Dihydroergotamine
N06AA09,Amitriptyline
N06CA01,Amitriptyline
L01BC09,Floxuridine
N04BX01,Tolcapone
D07XB04,Fluorometholone
D07AB06,Fluorometholone
S01BA07,Fluorometholone
S01BB03,Fluorometholone
C05AA06,Fluorometholone
D07CB03,Fluorometholone
S01CB05,Fluorometholone
S01CA07,Fluorometholone
D10AA01,Fluorometholone
C02DD01,Nitroprusside
A12AA10,Calcium glucoheptonate
N02AA53,Hydromorphone
N02AA03,Hydromorphone
N02AG04,Hydromorphone
S01CC02,Indomethacin
M01AB51,Indomethacin
S01BC01,Indomethacin
M02AA23,Indomethacin
M01AB01,Indomethacin
C01EB03,Indomethacin
J04AK02,Ethambutol
J04AM03,Ethambutol
J04AM06,Ethambutol
J04AM07,Ethambutol
A10BD23,Metformin
A10BD02,Metformin
A10BD18,Metformin
A10BD11,Metformin
A10BD25,Metformin
A10BA02,Metformin
A10BD22,Metformin
A10BD14,Metformin
A10BD16,Metformin
A10BD17,Metformin
A10BD05,Metformin
A10BD15,Metformin
A10BD07,Metformin
A10BD10,Metformin
A10BD13,Metformin
A10BD20,Metformin
A10BD08,Metformin
A10BD03,Metformin
R03BB01,Ipratropium
R01AX03,Ipratropium
R03AL01,Ipratropium
R03AL02,Ipratropium
N07BC02,Methadone
N02AC52,Methadone
N05AH03,Olanzapine
C07CB53,Atenolol
C07AB03,Atenolol
C07FB03,Atenolol
C07DB01,Atenolol
C07BB03,Atenolol
C07CB03,Atenolol
B05CA03,Nitrofural
S02AA02,Nitrofural
D08AF01,Nitrofural
D09AA03,Nitrofural
S01AX04,Nitrofural
P01CC02,Nitrofural
D11AH02,Pimecrolimus
A02BC01,Omeprazole
A02BD05,Omeprazole
A02BD01,Omeprazole
J04AK01,Pyrazinamide
J04AM06,Pyrazinamide
J04AM05,Pyrazinamide
N04AA03,Metixene
R06AE07,Cetirizine
R06AX12,Terfenadine
C08DB01,Diltiazem
C05AE03,Diltiazem
N06AA11,Protriptyline
V04CH30,Aminohippuric acid
G04CA01,Alfuzosin
G04CA51,Alfuzosin
N03AC02,Trimethadione
A16AX04,Nitisinone
N05BA09,Clobazam
D11AX01,Minoxidil
C02DC01,Minoxidil
G03FB04,Megestrol acetate
G03DB02,Megestrol acetate
G03FA08,Megestrol acetate
G03AC05,Megestrol acetate
L02AB01,Megestrol acetate
G03AA04,Megestrol acetate
G03AB01,Megestrol acetate
L01BB03,Tioguanine
G02AC01,Methylergometrine
G02AB01,Methylergometrine
R06AE51,Buclizine
R06AE01,Buclizine
J01DF01,Aztreonam
M03BB03,Chlorzoxazone
M03BB53,Chlorzoxazone
M03BB73,Chlorzoxazone
L02BG01,Aminoglutethimide
P01BF02,Mefloquine
P01BC02,Mefloquine
J01EE06,Sulfadiazine
J01EC02,Sulfadiazine
G01AE10,Sulfadiazine
J01EE02,Sulfadiazine
A16AX07,Sapropterin
L01CA04,Vinorelbine
J02AX06,Anidulafungin
N05AH02,Clozapine
A02BX02,Sucralfate
J01MA11,Grepafloxacin
R06AA09,Doxylamine
R06AA59,Doxylamine
G03AB03,Levonorgestrel
G03AD01,Levonorgestrel
G03AC03,Levonorgestrel
G03FB09,Levonorgestrel
G03AA07,Levonorgestrel
G03FA11,Levonorgestrel
C01CA03,Norepinephrine
J05AB12,Cidofovir
N06AX11,Mirtazapine
N05BC51,Meprobamate
N05CX01,Meprobamate
N05BC01,Meprobamate
R06AD03,Thiethylperazine
C07AA06,Timolol
S01ED51,Timolol
C07BA06,Timolol
C07DA06,Timolol
S01ED01,Timolol
B01AC21,Treprostinil
C10AC02,Colestipol
N04AA01,Trihexyphenidyl
A04AA55,Palonosetron
A04AA05,Palonosetron
G03FA14,Dydrogesterone
G03DB01,Dydrogesterone
G03FB08,Dydrogesterone
C01BB02,Mexiletine
V03AF02,Dexrazoxane
C09XA54,Amlodipine
C10BX07,Amlodipine
C09BB03,Amlodipine
C09BB04,Amlodipine
C07FB07,Amlodipine
C09DB06,Amlodipine
C07FB12,Amlodipine
C09DB05,Amlodipine
C09XA53,Amlodipine
C10BX03,Amlodipine
C07FB13,Amlodipine
C08CA01,Amlodipine
C09BX04,Amlodipine
C09BX03,Amlodipine
C09DB04,Amlodipine
C09DX03,Amlodipine
C08GA02,Amlodipine
C09DB07,Amlodipine
C09DX06,Amlodipine
C09BX01,Amlodipine
C10BX11,Amlodipine
C09DB02,Amlodipine
C10BX09,Amlodipine
C08CA51,Amlodipine
C09DX01,Amlodipine
C09DB09,Amlodipine
C09DB01,Amlodipine
C10BX14,Amlodipine
C09BB07,Amlodipine
C09DX07,Amlodipine
N06DA01,Tacrine
A03AA01,Oxyphencyclimine
A03CA03,Oxyphencyclimine
C03DB02,Triamterene
L01DB09,Valrubicin
N04AA04,Procyclidine
S01FB01,Phenylephrine
R01AB01,Phenylephrine
C01CA06,Phenylephrine
R01AA04,Phenylephrine
S01FB51,Phenylephrine
R01BA53,Phenylephrine
S01GA05,Phenylephrine
S01GA55,Phenylephrine
R01BA03,Phenylephrine
H03BB01,Carbimazole
C01AA05,Digoxin
N05AL01,Sulpiride
N04AA05,Profenamine
C08CA06,Nimodipine
D07CC04,Beclomethasone dipropionate
R03AL09,Beclomethasone dipropionate
R03BA01,Beclomethasone dipropionate
D07AC15,Beclomethasone dipropionate
R03AK08,Beclomethasone dipropionate
R03AK13,Beclomethasone dipropionate
R01AD01,Beclomethasone dipropionate
A07EA07,Beclomethasone dipropionate
M03BA02,Carisoprodol
M03BA72,Carisoprodol
M03BA52,Carisoprodol
G03FA04,Progesterone
G03DA04,Progesterone
R01BA51,Phenylpropanolamine
R01BA01,Phenylpropanolamine
L01XE05,Sorafenib
M05BB08,Zoledronic acid
M05BA08,Zoledronic acid
D01BA01,Griseofulvin
D01AA08,Griseofulvin
C08CA07,Nisoldipine
N05CF04,Eszopiclone
V04CC04,Ceruletide
N05BA12,Alprazolam
R06AB06,Dexbrompheniramine
R06AB56,Dexbrompheniramine
G01AX09,Gentian violet cation
D01AE02,Gentian violet cation
N05AH01,Loxapine
N05AL04,Remoxipride
R01AX06,Mupirocin
D06AX09,Mupirocin
N07AB01,Carbamoylcholine
S01EB02,Carbamoylcholine
A10BD04,Rosiglitazone
A10BG02,Rosiglitazone
A10BD03,Rosiglitazone
N04BC05,Pramipexole
A10BB31,Acetohexamide
J01CR50,Ampicillin
J01CA51,Ampicillin
J01CA01,Ampicillin
S01AA19,Ampicillin
J01CR50,Phenoxymethylpenicillin
J01CE10,Phenoxymethylpenicillin
J01CE02,Phenoxymethylpenicillin
N05CB01,Secobarbital
N05CA06,Secobarbital
A16AX06,Miglustat
N05AA03,Promazine
C03DA01,Spironolactone
N06BA04,Methylphenidate
M03BA73,Methocarbamol
M03BA03,Methocarbamol
M03BA53,Methocarbamol
A03BA03,Hyoscyamine
A03CB31,Hyoscyamine
N05CF02,Zolpidem
J05AB09,Famciclovir
S01AD07,Famciclovir
R06AX07,Triprolidine
L01AD04,Streptozocin
G02AD04,Carboprost tromethamine
J01DD11,Cefpiramide
P03AB02,Lindane
L01BC59,Trifluridine
S01AD02,Trifluridine
N05AB04,Prochlorperazine
R06AX02,Cyproheptadine
R07AX01,Nitric Oxide
C03AB01,Bendroflumethiazide
C03EA13,Bendroflumethiazide
G01AE10,Bendroflumethiazide
C03AA01,Bendroflumethiazide
M04AA01,Allopurinol
M04AA51,Allopurinol
J01DD02,Ceftazidime
C10AA06,Cerivastatin
J01EE03,Trimethoprim
J01EA01,Trimethoprim
J04AM08,Trimethoprim
J01EE01,Trimethoprim
J01EE04,Trimethoprim
J01EE02,Trimethoprim
J01EE05,Trimethoprim
J01EE07,Trimethoprim
L01BC05,Gemcitabine
J05AF10,Entecavir
R01AD06,Betamethasone
D07BC01,Betamethasone
S01BA06,Betamethasone
S01BB04,Betamethasone
S01CB04,Betamethasone
H02AB01,Betamethasone
C05AA05,Betamethasone
S03CA06,Betamethasone
D07XC01,Betamethasone
D07AC01,Betamethasone
A07EA04,Betamethasone
S02BA07,Betamethasone
R03BA04,Betamethasone
S03BA03,Betamethasone
S01CA05,Betamethasone
D07CC01,Betamethasone
L01CB02,Teniposide
L01DB03,Epirubicin
D06AX02,Chloramphenicol
S02AA01,Chloramphenicol
D10AF03,Chloramphenicol
S01AA01,Chloramphenicol
G01AA05,Chloramphenicol
J01BA01,Chloramphenicol
S03AA08,Chloramphenicol
J01DC08,Loracarbef
A02BC03,Lansoprazole
A02BD02,Lansoprazole
A02BD07,Lansoprazole
A02BD09,Lansoprazole
A02BD10,Lansoprazole
A02BD03,Lansoprazole
A02BC53,Lansoprazole
S01EA02,Dipivefrin
N05AD08,Droperidol
H03AA01,Levothyroxine
D09AA01,Framycetin
R01AX08,Framycetin
S01AA07,Framycetin
J01AA11,Clomocycline
N02AB02,Meperidine
N02AB72,Meperidine
N02AB52,Meperidine
N02AG03,Meperidine
R06AX13,Loratadine
J01DB03,Cefalotin
C02LE01,Prazosin
C02CA01,Prazosin
N06AA02,Imipramine
D05BB02,Acitretin
S01LA01,Verteporfin
M01AX01,Nabumetone
N03AA30,Metharbital
C05BB04,Sodium tetradecyl sulfate
M01AB15,Ketorolac
S01FB51,Ketorolac
S01BC05,Ketorolac
J01MA04,Enoxacin
M09AA72,Quinine
P01BC01,Quinine
M01AC02,Tenoxicam
A04AD10,Dronabinol
R03DC03,Montelukast
R03DC53,Montelukast
N06CA03,Fluoxetine
N06AB03,Fluoxetine
N05CB01,Methohexital
N01AF01,Methohexital
N05CA15,Methohexital
N05BA02,Chlordiazepoxide
N06AX21,Duloxetine
N05AA01,Chlorpromazine
J05AC02,Rimantadine
S01AA21,Amikacin
D06AX12,Amikacin
J01GB06,Amikacin
J01RA06,Amikacin
L04AX04,Lenalidomide
G03XC01,Raloxifene
M01AH01,Celecoxib
G01AE10,Celecoxib
L01XX33,Celecoxib
C08CA51,Celecoxib
D11AX21,Brimonidine
S01EA05,Brimonidine
J01CR50,Dicloxacillin
J01CF01,Dicloxacillin
A04AD11,Nabilone
J01MA03,Pefloxacin
L01XX03,Altretamine
C07AA07,Sotalol
C07BA07,Sotalol
C07FX02,Sotalol
N05BE01,Buspirone
A10BF02,Miglitol
C09BA09,Fosinopril
C09AA09,Fosinopril
J01DD01,Cefotaxime
N04BX02,Entacapone
J05AR04,Zidovudine
J05AF01,Zidovudine
J05AR05,Zidovudine
J05AR01,Zidovudine
G04BD10,Darifenacin
N02AA56,Oxycodone
N02AA05,Oxycodone
N02AA55,Oxycodone
N02AJ18,Oxycodone
N02AJ17,Oxycodone
N02AJ19,Oxycodone
B01AA02,Phenindione
L02BB01,Flutamide
M01AB03,Tolmetin
M02AA21,Tolmetin
A02BA51,Cimetidine
A02BA01,Cimetidine
N05AD01,Haloperidol
J05AP53,Ritonavir
J05AR10,Ritonavir
J05AE03,Ritonavir
J05AR23,Ritonavir
J05AR26,Ritonavir
J05AP52,Ritonavir
A03AB08,Tridihexethyl
P01AX11,Nitazoxanide
N05AA05,Triflupromazine
C10AX01,Dextrothyroxine
C01AA01,Acetyldigitoxin
J01XA01,Vancomycin
A07AA09,Vancomycin
S01AA28,Vancomycin
B02AA01,Aminocaproic acid
R05DA09,Dextromethorphan
N07XX59,Dextromethorphan
L01XA01,Cisplatin
P02CA03,Albendazole
C09AA10,Trandolapril
C09BB10,Trandolapril
J02AX04,Caspofungin
S01ED55,Carteolol
S01ED05,Carteolol
C07AA15,Carteolol
V04CK03,Bentiromide
D11AH04,Alitretinoin
L01XX22,Alitretinoin
C03EA12,Metolazone
G01AE10,Metolazone
C03BA08,Metolazone
D01AE18,Tolnaftate
L01XA03,Oxaliplatin
D04AB02,Cinchocaine
S01HA06,Cinchocaine
S02DA04,Cinchocaine
N01BB06,Cinchocaine
C05AD04,Cinchocaine
C09DB08,Lercanidipine
C09BB02,Lercanidipine
C08CA13,Lercanidipine
J05AD01,Foscarnet
L01XE03,Erlotinib
L01AA01,Cyclophosphamide
N03AB04,Mephenytoin
N03AB54,Mephenytoin
M01AH02,Rofecoxib
J01DD15,Cefdinir
J01RA11,Ciprofloxacin
S03AA07,Ciprofloxacin
J01MA02,Ciprofloxacin
S02AA15,Ciprofloxacin
J01RA10,Ciprofloxacin
J01RA12,Ciprofloxacin
S01AE03,Ciprofloxacin
V08CA06,Gadoversetamide
L02BA02,Toremifene
N06AA10,Nortriptyline
L01CA02,Vincristine
C09BA07,Benazepril
C09AA07,Benazepril
N06AA17,Amoxapine
L01BC52,Fluorouracil
L01BC02,Fluorouracil
N07AA02,Pyridostigmine
N05BA07,Adinazolam
D07AC03,Desoximetasone
D07XC02,Desoximetasone
D10AX03,Azelaic acid
R03DC01,Zafirlukast
H03BA02,Propylthiouracil
G04BX03,Acetohydroxamic acid
L01XX08,Pentostatin
D05BA02,Methoxsalen
D05AD02,Methoxsalen
M01AC01,Piroxicam
M02AA07,Piroxicam
S01BC06,Piroxicam
N03AX09,Lamotrigine
N05BB01,Hydroxyzine
N05BB51,Hydroxyzine
J05AH01,Zanamivir
G01AE10,Bosentan
C02KX01,Bosentan
J01AA20,Tigecycline
J01AA12,Tigecycline
R07AB01,Doxapram
G01AE10,Benzthiazide
L04AX03,Methotrexate
L01BA01,Methotrexate
N03AF01,Carbamazepine
M03AC11,Cisatracurium
J01DB01,Cephalexin
N07CA52,Cinnarizine
N07CA02,Cinnarizine
B01AX05,Fondaparinux
L01CA01,Vinblastine
C07FX01,Propranolol
C07AA05,Propranolol
C07BA05,Propranolol
S01FA01,Atropine
A03CB03,Atropine
A03BA01,Atropine
M01AE04,Fenoprofen
A08AA02,Fenfluramine
S01EA04,Clonidine
C02LC01,Clonidine
C02AC01,Clonidine
N02CX02,Clonidine
C02LC51,Clonidine
J01EB02,Sulfamethizole
B05CA04,Sulfamethizole
G01AE10,Sulfamethizole
S01AB01,Sulfamethizole
D06BA04,Sulfamethizole
J05AB11,Valaciclovir
J01CR50,Carbenicillin
J01CA03,Carbenicillin
A08AA05,Mazindol
M01AH03,Valdecoxib
A06AD61,Lactulose
A06AD11,Lactulose
J02AC03,Voriconazole
A16AA01,Levocarnitine
C09BA02,Enalapril
C09BB06,Enalapril
C09BB02,Enalapril
C09AA02,Enalapril
A02BA04,Nizatidine
S01CC01,Diclofenac
S01BC03,Diclofenac
M01AB55,Diclofenac
M02AA15,Diclofenac
M01AB05,Diclofenac
D11AX18,Diclofenac
G02CB02,Lisuride
N02CA07,Lisuride
C02CA04,Doxazosin
S01CA10,Fluocinolone acetonide
D07BC02,Fluocinolone acetonide
S02BA08,Fluocinolone acetonide
C05AA10,Fluocinolone acetonide
S01BA15,Fluocinolone acetonide
D07AC04,Fluocinolone acetonide
S02CA05,Fluocinolone acetonide
D07CC02,Fluocinolone acetonide
P02CB01,Piperazine
N03AD01,Ethosuximide
N03AD51,Ethosuximide
C03DB01,Amiloride
J01AA06,Oxytetracycline
S01AA04,Oxytetracycline
J01AA56,Oxytetracycline
D06AA03,Oxytetracycline
G01AA07,Oxytetracycline
J01AA20,Oxytetracycline
D07AC21,Ulobetasol
V08CA04,Gadoteridol
C07BG01,Labetalol
C07CG01,Labetalol
C07AG01,Labetalol
N01AF03,Thiopental
N05CB01,Thiopental
N05CA19,Thiopental
D11AX13,Monobenzone
J01XX08,Linezolid
P02CF01,Ivermectin
D11AX22,Ivermectin
G03AA08,Medroxyprogesterone acetate
